,date,country,confirmed,recovered,deaths
0,2020-03-27,Australia,3143,194,13
1,2020-03-27,Austria,7697,225,58
2,2020-03-27,Canada,4758,345,56
3,2020-03-27,China,81933,75091,3299
4,2020-03-27,Denmark,2200,57,52
5,2020-03-27,Finland,1041,10,7
6,2020-03-27,France,33414,5707,1997
7,2020-03-27,Germany,50871,6658,351
8,2020-03-27,Iceland,890,97,2
9,2020-03-27,Ireland,2121,5,22
10,2020-03-27,Italy,86498,10950,9134
11,2020-03-27,Netherlands,8647,6,547
12,2020-03-27,Norway,3771,7,19
13,2020-03-27,Russia,1036,45,4
14,2020-03-27,Sweden,3069,16,105
15,2020-03-27,Switzerland,12928,1530,231
16,2020-03-27,United Kingdom,14751,151,761
17,2020-03-27,United States,104463,890,1702
18,2020-03-27,Afghanistan,110,2,4
19,2020-03-27,Albania,186,31,8
20,2020-03-27,Algeria,409,29,26
21,2020-03-27,Andorra,267,1,3
22,2020-03-27,Angola,4,0,0
23,2020-03-27,Antigua And Barbuda,7,0,0
24,2020-03-27,Argentina,690,72,17
25,2020-03-27,Armenia,329,28,1
26,2020-03-27,Azerbaijan,165,15,3
27,2020-03-27,Bahamas,10,1,0
28,2020-03-27,Bahrain,466,227,4
29,2020-03-27,Bangladesh,48,11,5
30,2020-03-27,Barbados,24,0,0
31,2020-03-27,Belarus,94,32,0
32,2020-03-27,Belgium,7284,858,289
33,2020-03-27,Belize,2,0,0
34,2020-03-27,Benin,6,0,0
35,2020-03-27,Bhutan,3,0,0
36,2020-03-27,Bolivia,74,0,0
37,2020-03-27,Bosnia And Herzegovina,237,5,4
38,2020-03-27,Brazil,3477,6,93
39,2020-03-27,Brunei,115,11,1
40,2020-03-27,Bulgaria,293,9,3
41,2020-03-27,Burkina Faso,180,12,9
42,2020-03-27,Burma,8,0,0
43,2020-03-27,Cabo Verde,5,0,1
44,2020-03-27,Cambodia,99,11,0
45,2020-03-27,Cameroon,91,2,2
46,2020-03-27,Central African Republic,3,0,0
47,2020-03-27,Chad,3,0,0
48,2020-03-27,Chile,1610,43,5
49,2020-03-27,Colombia,539,10,6
50,2020-03-27,Congo (Brazzaville),4,0,0
51,2020-03-27,Congo (Kinshasa),51,2,3
52,2020-03-27,Costa Rica,263,3,2
53,2020-03-27,Cote D'Ivoire,101,3,0
54,2020-03-27,Croatia,586,37,3
55,2020-03-27,Cuba,80,4,2
56,2020-03-27,Cyprus,162,15,5
57,2020-03-27,Czechia,2279,11,9
58,2020-03-27,Diamond Princess,712,597,10
59,2020-03-27,Djibouti,12,0,0
60,2020-03-27,Dominica,11,0,0
61,2020-03-27,Dominican Republic,581,3,20
62,2020-03-27,Ecuador,1627,3,41
63,2020-03-27,Egypt,536,116,30
64,2020-03-27,El Salvador,13,0,0
65,2020-03-27,Equatorial Guinea,12,0,0
66,2020-03-27,Eritrea,6,0,0
67,2020-03-27,Estonia,575,11,1
68,2020-03-27,Eswatini,9,0,0
69,2020-03-27,Ethiopia,16,0,0
70,2020-03-27,Fiji,5,0,0
71,2020-03-27,Gabon,7,0,1
72,2020-03-27,Gambia,3,0,1
73,2020-03-27,Georgia,83,14,0
74,2020-03-27,Ghana,137,2,4
75,2020-03-27,Greece,966,52,28
76,2020-03-27,Grenada,7,0,0
77,2020-03-27,Guatemala,28,4,1
78,2020-03-27,Guinea,8,0,0
79,2020-03-27,Guinea-Bissau,2,0,0
80,2020-03-27,Guyana,5,0,1
81,2020-03-27,Haiti,8,0,0
82,2020-03-27,Holy See,4,0,0
83,2020-03-27,Honduras,95,3,1
84,2020-03-27,Hungary,300,34,10
85,2020-03-27,India,887,73,20
86,2020-03-27,Indonesia,1046,46,87
87,2020-03-27,Iran,32332,11133,2378
88,2020-03-27,Iraq,458,122,40
89,2020-03-27,Israel,3035,79,12
90,2020-03-27,Jamaica,26,2,1
91,2020-03-27,Japan,1499,372,49
92,2020-03-27,Jordan,235,18,1
93,2020-03-27,Kazakhstan,150,3,1
94,2020-03-27,Kenya,31,1,1
95,2020-03-27,"Korea, South",9478,4811,144
96,2020-03-27,Kosovo,86,1,1
97,2020-03-27,Kuwait,225,57,0
98,2020-03-27,Kyrgyzstan,58,0,0
99,2020-03-27,Laos,6,0,0
100,2020-03-27,Latvia,280,1,0
101,2020-03-27,Lebanon,391,27,8
102,2020-03-27,Liberia,3,0,0
103,2020-03-27,Libya,1,0,0
104,2020-03-27,Liechtenstein,56,0,0
105,2020-03-27,Lithuania,358,1,5
106,2020-03-27,Luxembourg,1605,40,15
107,2020-03-27,Ms Zaandam,2,0,0
108,2020-03-27,Madagascar,26,0,0
109,2020-03-27,Malaysia,2161,259,26
110,2020-03-27,Maldives,16,9,0
111,2020-03-27,Mali,11,0,0
112,2020-03-27,Malta,139,2,0
113,2020-03-27,Mauritania,5,0,0
114,2020-03-27,Mauritius,94,0,2
115,2020-03-27,Mexico,717,4,12
116,2020-03-27,Moldova,199,2,2
117,2020-03-27,Monaco,42,1,0
118,2020-03-27,Mongolia,11,0,0
119,2020-03-27,Montenegro,82,0,1
120,2020-03-27,Morocco,345,11,23
121,2020-03-27,Mozambique,7,0,0
122,2020-03-27,Namibia,8,2,0
123,2020-03-27,Nepal,4,1,0
124,2020-03-27,New Zealand,451,50,0
125,2020-03-27,Nicaragua,2,0,1
126,2020-03-27,Niger,10,0,1
127,2020-03-27,Nigeria,70,3,1
128,2020-03-27,North Macedonia,219,3,3
129,2020-03-27,Oman,131,23,0
130,2020-03-27,Pakistan,1373,23,11
131,2020-03-27,Panama,786,2,14
132,2020-03-27,Papua New Guinea,1,0,0
133,2020-03-27,Paraguay,52,1,3
134,2020-03-27,Peru,635,16,11
135,2020-03-27,Philippines,803,31,54
136,2020-03-27,Poland,1389,7,16
137,2020-03-27,Portugal,4268,43,76
138,2020-03-27,Qatar,562,43,0
139,2020-03-27,Romania,1292,115,26
140,2020-03-27,Rwanda,54,0,0
141,2020-03-27,Saint Kitts And Nevis,2,0,0
142,2020-03-27,Saint Lucia,3,1,0
143,2020-03-27,Saint Vincent And The Grenadines,1,0,0
144,2020-03-27,San Marino,223,6,21
145,2020-03-27,Saudi Arabia,1104,35,3
146,2020-03-27,Senegal,119,11,0
147,2020-03-27,Serbia,457,0,1
148,2020-03-27,Seychelles,7,0,0
149,2020-03-27,Singapore,732,183,2
150,2020-03-27,Slovakia,269,2,0
151,2020-03-27,Slovenia,632,10,9
152,2020-03-27,Somalia,3,0,0
153,2020-03-27,South Africa,1170,31,1
154,2020-03-27,Spain,65719,9357,5138
155,2020-03-27,Sri Lanka,106,7,0
156,2020-03-27,Sudan,3,0,1
157,2020-03-27,Suriname,8,0,0
158,2020-03-27,Syria,5,0,0
159,2020-03-27,Taiwan*,267,29,2
160,2020-03-27,Tanzania,13,1,0
161,2020-03-27,Thailand,1136,97,5
162,2020-03-27,Timor-Leste,1,0,0
163,2020-03-27,Togo,25,1,1
164,2020-03-27,Trinidad And Tobago,66,1,2
165,2020-03-27,Tunisia,227,2,7
166,2020-03-27,Turkey,5698,42,92
167,2020-03-27,Uganda,23,0,0
168,2020-03-27,Ukraine,310,5,5
169,2020-03-27,United Arab Emirates,405,52,2
170,2020-03-27,Uruguay,274,0,0
171,2020-03-27,Uzbekistan,88,5,1
172,2020-03-27,Venezuela,113,31,2
173,2020-03-27,Vietnam,169,20,0
174,2020-03-27,West Bank And Gaza,91,17,1
175,2020-03-27,Zambia,22,0,0
176,2020-03-27,Zimbabwe,5,0,1
