,date,country,confirmed,recovered,deaths
0,2020-03-28,Australia,3935,244,16
1,2020-03-28,Austria,8271,225,68
2,2020-03-28,Canada,5655,466,61
3,2020-03-28,China,82057,75576,3304
4,2020-03-28,Denmark,2366,57,65
5,2020-03-28,Finland,1167,10,9
6,2020-03-28,France,38105,5724,2317
7,2020-03-28,Germany,57695,8481,433
8,2020-03-28,Iceland,963,114,2
9,2020-03-28,Ireland,2415,5,36
10,2020-03-28,Italy,92472,12384,10023
11,2020-03-28,Netherlands,9819,6,640
12,2020-03-28,Norway,4032,7,23
13,2020-03-28,Russia,1264,49,4
14,2020-03-28,Sweden,3447,16,105
15,2020-03-28,Switzerland,14076,1530,264
16,2020-03-28,United Kingdom,17312,151,1021
17,2020-03-28,United States,124377,1095,2190
18,2020-03-28,Afghanistan,110,2,4
19,2020-03-28,Albania,197,31,10
20,2020-03-28,Algeria,454,31,29
21,2020-03-28,Andorra,308,1,3
22,2020-03-28,Angola,5,0,0
23,2020-03-28,Antigua And Barbuda,7,0,0
24,2020-03-28,Argentina,745,72,19
25,2020-03-28,Armenia,407,30,1
26,2020-03-28,Azerbaijan,182,15,4
27,2020-03-28,Bahamas,10,1,0
28,2020-03-28,Bahrain,476,265,4
29,2020-03-28,Bangladesh,48,15,5
30,2020-03-28,Barbados,26,0,0
31,2020-03-28,Belarus,94,32,0
32,2020-03-28,Belgium,9134,1063,353
33,2020-03-28,Belize,2,0,0
34,2020-03-28,Benin,6,0,0
35,2020-03-28,Bhutan,3,0,0
36,2020-03-28,Bolivia,81,0,0
37,2020-03-28,Bosnia And Herzegovina,278,8,6
38,2020-03-28,Brazil,3904,6,114
39,2020-03-28,Brunei,120,25,1
40,2020-03-28,Bulgaria,331,11,7
41,2020-03-28,Burkina Faso,207,21,11
42,2020-03-28,Burma,8,0,0
43,2020-03-28,Cabo Verde,6,0,1
44,2020-03-28,Cambodia,103,21,0
45,2020-03-28,Cameroon,91,2,2
46,2020-03-28,Central African Republic,3,0,0
47,2020-03-28,Chad,3,0,0
48,2020-03-28,Chile,1909,61,6
49,2020-03-28,Colombia,608,10,6
50,2020-03-28,Congo (Brazzaville),4,0,0
51,2020-03-28,Congo (Kinshasa),65,2,6
52,2020-03-28,Costa Rica,295,3,2
53,2020-03-28,Cote D'Ivoire,101,3,0
54,2020-03-28,Croatia,657,45,5
55,2020-03-28,Cuba,119,4,3
56,2020-03-28,Cyprus,179,15,5
57,2020-03-28,Czechia,2631,11,11
58,2020-03-28,Diamond Princess,712,597,10
59,2020-03-28,Djibouti,14,0,0
60,2020-03-28,Dominica,11,0,0
61,2020-03-28,Dominican Republic,719,3,28
62,2020-03-28,Ecuador,1823,3,48
63,2020-03-28,Egypt,576,121,36
64,2020-03-28,El Salvador,19,0,0
65,2020-03-28,Equatorial Guinea,12,0,0
66,2020-03-28,Eritrea,6,0,0
67,2020-03-28,Estonia,645,20,1
68,2020-03-28,Eswatini,9,0,0
69,2020-03-28,Ethiopia,16,1,0
70,2020-03-28,Fiji,5,0,0
71,2020-03-28,Gabon,7,0,1
72,2020-03-28,Gambia,3,0,1
73,2020-03-28,Georgia,90,14,0
74,2020-03-28,Ghana,141,2,5
75,2020-03-28,Greece,1061,52,32
76,2020-03-28,Grenada,7,0,0
77,2020-03-28,Guatemala,34,10,1
78,2020-03-28,Guinea,8,0,0
79,2020-03-28,Guinea-Bissau,2,0,0
80,2020-03-28,Guyana,8,0,1
81,2020-03-28,Haiti,8,0,0
82,2020-03-28,Holy See,6,0,0
83,2020-03-28,Honduras,95,3,1
84,2020-03-28,Hungary,343,34,11
85,2020-03-28,India,987,84,24
86,2020-03-28,Indonesia,1155,59,102
87,2020-03-28,Iran,35408,11679,2517
88,2020-03-28,Iraq,506,131,42
89,2020-03-28,Israel,3619,89,12
90,2020-03-28,Jamaica,32,2,1
91,2020-03-28,Japan,1693,404,52
92,2020-03-28,Jordan,246,18,1
93,2020-03-28,Kazakhstan,228,16,1
94,2020-03-28,Kenya,38,1,1
95,2020-03-28,"Korea, South",9583,5033,152
96,2020-03-28,Kosovo,91,1,1
97,2020-03-28,Kuwait,235,64,0
98,2020-03-28,Kyrgyzstan,58,0,0
99,2020-03-28,Laos,8,0,0
100,2020-03-28,Latvia,305,1,0
101,2020-03-28,Lebanon,412,30,8
102,2020-03-28,Liberia,3,0,0
103,2020-03-28,Libya,3,0,0
104,2020-03-28,Liechtenstein,56,0,0
105,2020-03-28,Lithuania,394,1,7
106,2020-03-28,Luxembourg,1831,40,18
107,2020-03-28,Ms Zaandam,2,0,0
108,2020-03-28,Madagascar,26,0,0
109,2020-03-28,Malaysia,2320,320,27
110,2020-03-28,Maldives,16,9,0
111,2020-03-28,Mali,18,0,1
112,2020-03-28,Malta,149,2,0
113,2020-03-28,Mauritania,5,0,0
114,2020-03-28,Mauritius,102,0,2
115,2020-03-28,Mexico,848,4,16
116,2020-03-28,Moldova,231,2,2
117,2020-03-28,Monaco,42,1,0
118,2020-03-28,Mongolia,12,0,0
119,2020-03-28,Montenegro,84,0,1
120,2020-03-28,Morocco,402,12,25
121,2020-03-28,Mozambique,8,0,0
122,2020-03-28,Namibia,8,2,0
123,2020-03-28,Nepal,5,1,0
124,2020-03-28,New Zealand,514,56,1
125,2020-03-28,Nicaragua,4,0,1
126,2020-03-28,Niger,10,0,1
127,2020-03-28,Nigeria,97,3,1
128,2020-03-28,North Macedonia,241,3,4
129,2020-03-28,Oman,152,23,0
130,2020-03-28,Pakistan,1495,29,12
131,2020-03-28,Panama,901,4,17
132,2020-03-28,Papua New Guinea,1,0,0
133,2020-03-28,Paraguay,56,1,3
134,2020-03-28,Peru,671,16,16
135,2020-03-28,Philippines,1075,35,68
136,2020-03-28,Poland,1638,7,18
137,2020-03-28,Portugal,5170,43,100
138,2020-03-28,Qatar,590,45,1
139,2020-03-28,Romania,1452,139,37
140,2020-03-28,Rwanda,60,0,0
141,2020-03-28,Saint Kitts And Nevis,2,0,0
142,2020-03-28,Saint Lucia,3,1,0
143,2020-03-28,Saint Vincent And The Grenadines,1,1,0
144,2020-03-28,San Marino,224,6,22
145,2020-03-28,Saudi Arabia,1203,37,4
146,2020-03-28,Senegal,130,18,0
147,2020-03-28,Serbia,659,0,10
148,2020-03-28,Seychelles,8,0,0
149,2020-03-28,Singapore,802,198,2
150,2020-03-28,Slovakia,292,2,0
151,2020-03-28,Slovenia,684,10,9
152,2020-03-28,Somalia,3,0,0
153,2020-03-28,South Africa,1187,31,1
154,2020-03-28,Spain,73235,12285,5982
155,2020-03-28,Sri Lanka,113,9,1
156,2020-03-28,Sudan,5,0,1
157,2020-03-28,Suriname,8,0,0
158,2020-03-28,Syria,5,0,0
159,2020-03-28,Taiwan*,283,30,2
160,2020-03-28,Tanzania,14,1,0
161,2020-03-28,Thailand,1245,97,6
162,2020-03-28,Timor-Leste,1,0,0
163,2020-03-28,Togo,25,1,1
164,2020-03-28,Trinidad And Tobago,76,1,3
165,2020-03-28,Tunisia,278,2,8
166,2020-03-28,Turkey,7402,70,108
167,2020-03-28,Uganda,30,0,0
168,2020-03-28,Ukraine,356,5,9
169,2020-03-28,United Arab Emirates,468,52,2
170,2020-03-28,Uruguay,304,0,1
171,2020-03-28,Uzbekistan,104,5,2
172,2020-03-28,Venezuela,119,39,2
173,2020-03-28,Vietnam,179,21,0
174,2020-03-28,West Bank And Gaza,104,18,1
175,2020-03-28,Zambia,28,0,0
176,2020-03-28,Zimbabwe,7,0,1
