,date,country,confirmed,recovered,deaths
0,2020-03-29,Australia,3984,244,16
1,2020-03-29,Austria,8788,479,86
2,2020-03-29,Canada,6320,466,64
3,2020-03-29,China,82149,75903,3308
4,2020-03-29,Denmark,2564,73,72
5,2020-03-29,Finland,1240,10,11
6,2020-03-29,France,40723,7226,2611
7,2020-03-29,Germany,62435,9211,541
8,2020-03-29,Iceland,1020,135,2
9,2020-03-29,Ireland,2615,5,46
10,2020-03-29,Italy,97689,13030,10779
11,2020-03-29,Netherlands,10930,253,772
12,2020-03-29,Norway,4284,7,26
13,2020-03-29,Russia,1534,64,8
14,2020-03-29,Sweden,3700,16,110
15,2020-03-29,Switzerland,14829,1595,300
16,2020-03-29,United Kingdom,19784,151,1231
17,2020-03-29,United States,142356,4767,2493
18,2020-03-29,Afghanistan,120,2,4
19,2020-03-29,Albania,212,33,10
20,2020-03-29,Algeria,511,31,31
21,2020-03-29,Andorra,334,1,6
22,2020-03-29,Angola,7,0,2
23,2020-03-29,Antigua And Barbuda,7,0,0
24,2020-03-29,Argentina,820,91,20
25,2020-03-29,Armenia,424,30,3
26,2020-03-29,Azerbaijan,209,15,4
27,2020-03-29,Bahamas,14,1,0
28,2020-03-29,Bahrain,499,272,4
29,2020-03-29,Bangladesh,48,15,5
30,2020-03-29,Barbados,33,0,0
31,2020-03-29,Belarus,94,32,0
32,2020-03-29,Belgium,10836,1359,431
33,2020-03-29,Belize,2,0,0
34,2020-03-29,Benin,6,0,0
35,2020-03-29,Bhutan,4,0,0
36,2020-03-29,Bolivia,81,0,1
37,2020-03-29,Bosnia And Herzegovina,323,8,6
38,2020-03-29,Brazil,4256,6,136
39,2020-03-29,Brunei,126,34,1
40,2020-03-29,Bulgaria,346,14,8
41,2020-03-29,Burkina Faso,222,23,12
42,2020-03-29,Burma,10,0,0
43,2020-03-29,Cabo Verde,6,0,1
44,2020-03-29,Cambodia,103,21,0
45,2020-03-29,Cameroon,139,5,6
46,2020-03-29,Central African Republic,3,0,0
47,2020-03-29,Chad,3,0,0
48,2020-03-29,Chile,2139,75,7
49,2020-03-29,Colombia,702,10,10
50,2020-03-29,Congo (Brazzaville),19,0,0
51,2020-03-29,Congo (Kinshasa),81,2,8
52,2020-03-29,Costa Rica,314,3,2
53,2020-03-29,Cote D'Ivoire,165,4,1
54,2020-03-29,Croatia,713,55,6
55,2020-03-29,Cuba,139,4,3
56,2020-03-29,Cyprus,214,15,6
57,2020-03-29,Czechia,2817,11,16
58,2020-03-29,Diamond Princess,712,603,10
59,2020-03-29,Djibouti,18,0,0
60,2020-03-29,Dominica,11,0,0
61,2020-03-29,Dominican Republic,859,3,39
62,2020-03-29,Ecuador,1924,3,58
63,2020-03-29,Egypt,609,132,40
64,2020-03-29,El Salvador,24,0,0
65,2020-03-29,Equatorial Guinea,12,0,0
66,2020-03-29,Eritrea,12,0,0
67,2020-03-29,Estonia,679,20,3
68,2020-03-29,Eswatini,9,0,0
69,2020-03-29,Ethiopia,21,1,0
70,2020-03-29,Fiji,5,0,0
71,2020-03-29,Gabon,7,0,1
72,2020-03-29,Gambia,4,0,1
73,2020-03-29,Georgia,91,18,0
74,2020-03-29,Ghana,152,2,5
75,2020-03-29,Greece,1156,52,39
76,2020-03-29,Grenada,9,0,0
77,2020-03-29,Guatemala,34,10,1
78,2020-03-29,Guinea,16,0,0
79,2020-03-29,Guinea-Bissau,2,0,0
80,2020-03-29,Guyana,8,0,1
81,2020-03-29,Haiti,15,1,0
82,2020-03-29,Holy See,6,0,0
83,2020-03-29,Honduras,110,3,3
84,2020-03-29,Hungary,408,34,13
85,2020-03-29,India,1024,95,27
86,2020-03-29,Indonesia,1285,64,114
87,2020-03-29,Iran,38309,12391,2640
88,2020-03-29,Iraq,547,143,42
89,2020-03-29,Israel,4247,132,15
90,2020-03-29,Jamaica,32,2,1
91,2020-03-29,Japan,1866,424,54
92,2020-03-29,Jordan,259,18,3
93,2020-03-29,Kazakhstan,284,20,1
94,2020-03-29,Kenya,42,1,1
95,2020-03-29,"Korea, South",9661,5228,158
96,2020-03-29,Kosovo,94,1,1
97,2020-03-29,Kuwait,255,67,0
98,2020-03-29,Kyrgyzstan,84,0,0
99,2020-03-29,Laos,8,0,0
100,2020-03-29,Latvia,347,1,0
101,2020-03-29,Lebanon,438,30,10
102,2020-03-29,Liberia,3,0,0
103,2020-03-29,Libya,8,0,0
104,2020-03-29,Liechtenstein,56,0,0
105,2020-03-29,Lithuania,460,1,7
106,2020-03-29,Luxembourg,1950,40,21
107,2020-03-29,Ms Zaandam,2,0,0
108,2020-03-29,Madagascar,39,0,0
109,2020-03-29,Malaysia,2470,388,35
110,2020-03-29,Maldives,17,13,0
111,2020-03-29,Mali,18,0,1
112,2020-03-29,Malta,151,2,0
113,2020-03-29,Mauritania,5,2,0
114,2020-03-29,Mauritius,107,0,3
115,2020-03-29,Mexico,848,35,16
116,2020-03-29,Moldova,263,2,2
117,2020-03-29,Monaco,46,1,1
118,2020-03-29,Mongolia,12,0,0
119,2020-03-29,Montenegro,85,0,1
120,2020-03-29,Morocco,479,13,26
121,2020-03-29,Mozambique,8,0,0
122,2020-03-29,Namibia,11,2,0
123,2020-03-29,Nepal,5,1,0
124,2020-03-29,New Zealand,514,63,1
125,2020-03-29,Nicaragua,4,0,1
126,2020-03-29,Niger,18,0,1
127,2020-03-29,Nigeria,111,3,1
128,2020-03-29,North Macedonia,259,3,6
129,2020-03-29,Oman,167,23,0
130,2020-03-29,Pakistan,1597,29,14
131,2020-03-29,Panama,989,4,24
132,2020-03-29,Papua New Guinea,1,0,0
133,2020-03-29,Paraguay,64,1,3
134,2020-03-29,Peru,852,16,18
135,2020-03-29,Philippines,1418,42,71
136,2020-03-29,Poland,1862,7,22
137,2020-03-29,Portugal,5962,43,119
138,2020-03-29,Qatar,634,48,1
139,2020-03-29,Romania,1815,206,43
140,2020-03-29,Rwanda,70,0,0
141,2020-03-29,Saint Kitts And Nevis,2,0,0
142,2020-03-29,Saint Lucia,9,1,0
143,2020-03-29,Saint Vincent And The Grenadines,1,1,0
144,2020-03-29,San Marino,224,6,22
145,2020-03-29,Saudi Arabia,1299,66,8
146,2020-03-29,Senegal,142,27,0
147,2020-03-29,Serbia,741,0,13
148,2020-03-29,Seychelles,8,0,0
149,2020-03-29,Singapore,844,212,3
150,2020-03-29,Slovakia,314,2,0
151,2020-03-29,Slovenia,730,10,11
152,2020-03-29,Somalia,3,0,0
153,2020-03-29,South Africa,1280,31,2
154,2020-03-29,Spain,80110,14709,6803
155,2020-03-29,Sri Lanka,117,11,1
156,2020-03-29,Sudan,6,0,1
157,2020-03-29,Suriname,8,0,0
158,2020-03-29,Syria,9,0,1
159,2020-03-29,Taiwan*,298,39,3
160,2020-03-29,Tanzania,14,1,0
161,2020-03-29,Thailand,1388,229,7
162,2020-03-29,Timor-Leste,1,0,0
163,2020-03-29,Togo,30,1,1
164,2020-03-29,Trinidad And Tobago,78,1,3
165,2020-03-29,Tunisia,312,2,8
166,2020-03-29,Turkey,9217,105,131
167,2020-03-29,Uganda,33,0,0
168,2020-03-29,Ukraine,475,6,10
169,2020-03-29,United Arab Emirates,570,58,3
170,2020-03-29,Uruguay,304,0,1
171,2020-03-29,Uzbekistan,144,7,2
172,2020-03-29,Venezuela,119,39,3
173,2020-03-29,Vietnam,194,25,0
174,2020-03-29,West Bank And Gaza,109,18,1
175,2020-03-29,Zambia,29,0,0
176,2020-03-29,Zimbabwe,7,0,1
