,date,country,confirmed,recovered,deaths
0,2020-03-26,Australia,2810,172,13
1,2020-03-26,Austria,6909,112,49
2,2020-03-26,Canada,4046,184,38
3,2020-03-26,China,81782,74181,3291
4,2020-03-26,Denmark,2023,50,41
5,2020-03-26,Finland,958,10,5
6,2020-03-26,France,29566,4955,1698
7,2020-03-26,Germany,43938,5673,267
8,2020-03-26,Iceland,802,82,2
9,2020-03-26,Ireland,1819,5,19
10,2020-03-26,Italy,80589,10361,8215
11,2020-03-26,Netherlands,7469,6,435
12,2020-03-26,Norway,3372,6,14
13,2020-03-26,Russia,840,38,3
14,2020-03-26,Sweden,2840,16,77
15,2020-03-26,Switzerland,11811,131,192
16,2020-03-26,United Kingdom,11812,150,580
17,2020-03-26,United States,85653,713,1290
18,2020-03-26,Afghanistan,94,2,4
19,2020-03-26,Albania,174,17,6
20,2020-03-26,Algeria,367,29,25
21,2020-03-26,Andorra,224,1,3
22,2020-03-26,Angola,4,0,0
23,2020-03-26,Antigua And Barbuda,7,0,0
24,2020-03-26,Argentina,589,72,12
25,2020-03-26,Armenia,290,18,1
26,2020-03-26,Azerbaijan,122,15,3
27,2020-03-26,Bahamas,9,1,0
28,2020-03-26,Bahrain,458,204,4
29,2020-03-26,Bangladesh,44,11,5
30,2020-03-26,Barbados,24,0,0
31,2020-03-26,Belarus,86,29,0
32,2020-03-26,Belgium,6235,675,220
33,2020-03-26,Belize,2,0,0
34,2020-03-26,Benin,6,0,0
35,2020-03-26,Bhutan,2,0,0
36,2020-03-26,Bolivia,61,0,0
37,2020-03-26,Bosnia And Herzegovina,191,2,3
38,2020-03-26,Brazil,2985,6,77
39,2020-03-26,Brunei,114,5,0
40,2020-03-26,Bulgaria,264,8,3
41,2020-03-26,Burkina Faso,152,10,7
42,2020-03-26,Cabo Verde,5,0,1
43,2020-03-26,Cambodia,98,10,0
44,2020-03-26,Cameroon,75,2,1
45,2020-03-26,Central African Republic,3,0,0
46,2020-03-26,Chad,3,0,0
47,2020-03-26,Chile,1306,22,4
48,2020-03-26,Colombia,491,8,6
49,2020-03-26,Congo (Brazzaville),4,0,0
50,2020-03-26,Congo (Kinshasa),51,0,3
51,2020-03-26,Costa Rica,231,2,2
52,2020-03-26,Cote D'Ivoire,96,3,0
53,2020-03-26,Croatia,495,22,3
54,2020-03-26,Cuba,67,1,2
55,2020-03-26,Cyprus,146,4,3
56,2020-03-26,Czechia,1925,10,9
57,2020-03-26,Diamond Princess,712,597,10
58,2020-03-26,Djibouti,11,0,0
59,2020-03-26,Dominica,11,0,0
60,2020-03-26,Dominican Republic,488,3,10
61,2020-03-26,Ecuador,1403,3,34
62,2020-03-26,Egypt,495,102,24
63,2020-03-26,El Salvador,13,0,0
64,2020-03-26,Equatorial Guinea,12,0,0
65,2020-03-26,Eritrea,6,0,0
66,2020-03-26,Estonia,538,8,1
67,2020-03-26,Eswatini,6,0,0
68,2020-03-26,Ethiopia,12,0,0
69,2020-03-26,Fiji,5,0,0
70,2020-03-26,Gabon,7,0,1
71,2020-03-26,Gambia,3,0,1
72,2020-03-26,Georgia,79,11,0
73,2020-03-26,Ghana,132,1,4
74,2020-03-26,Greece,892,36,27
75,2020-03-26,Grenada,7,0,0
76,2020-03-26,Guatemala,25,4,1
77,2020-03-26,Guinea,4,0,0
78,2020-03-26,Guinea-Bissau,2,0,0
79,2020-03-26,Guyana,5,0,1
80,2020-03-26,Haiti,8,0,0
81,2020-03-26,Holy See,4,0,0
82,2020-03-26,Honduras,67,0,1
83,2020-03-26,Hungary,261,28,10
84,2020-03-26,India,727,45,20
85,2020-03-26,Indonesia,893,35,78
86,2020-03-26,Iran,29406,10457,2234
87,2020-03-26,Iraq,382,105,36
88,2020-03-26,Israel,2693,68,8
89,2020-03-26,Jamaica,26,2,1
90,2020-03-26,Japan,1387,359,47
91,2020-03-26,Jordan,212,1,0
92,2020-03-26,Kazakhstan,113,2,1
93,2020-03-26,Kenya,31,1,1
94,2020-03-26,"Korea, South",9241,4144,131
95,2020-03-26,Kosovo,71,0,1
96,2020-03-26,Kuwait,208,49,0
97,2020-03-26,Kyrgyzstan,44,0,0
98,2020-03-26,Laos,6,0,0
99,2020-03-26,Latvia,244,1,0
100,2020-03-26,Lebanon,368,23,6
101,2020-03-26,Liberia,3,0,0
102,2020-03-26,Libya,1,0,0
103,2020-03-26,Liechtenstein,56,0,0
104,2020-03-26,Lithuania,299,1,4
105,2020-03-26,Luxembourg,1453,6,9
106,2020-03-26,Madagascar,23,0,0
107,2020-03-26,Malaysia,2031,215,23
